,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,FirstName,LastName,ADEmail,BusinessUnit,EmployeeClassificationType,DepartmentType,GenderCode,MaritalDesc,Current Employee Rating,Education,JobSatisfaction,JobInvolvement,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,MonthlyIncome,PercentSalaryHike,OverTime,DistanceFromHome,EducationField,Performance,Employee ID.1,YearsWorking,FinalScore,ExitScore,Age,SupervisorEngagementScore,PayZone_Encoded
0,1001,2020-01-01,2.2222222222222223,6.25,6.25,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.1875,0.21428571428571427,0.17647058823529413,0.0,2.201522208338066,1.666666666666667,0,0.0,8.571428571428571,3.5,,0,4,0,62.3,9.647058823529413,0
1,1001,2020-06-01,3.3333333333333335,6.875,6.25,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.5,0.5714285714285715,0.4705882352941177,1.0,2.3435192547995,1.9444444444444446,0,0.0,8.571428571428571,4.25,,0,4,0,62.7,9.647058823529413,0
2,1001,2021-01-01,5.555555555555555,7.5,7.5,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.8125,0.9285714285714286,0.7647058823529412,1.0,2.4855163012609336,1.9444444444444446,0,0.0,8.571428571428571,5.5,,1,4,0,63.3,9.647058823529413,0
3,1001,2021-06-01,6.666666666666667,8.125,7.5,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,1.125,1.2857142857142858,1.0588235294117647,2.0,2.627513347722367,1.9444444444444446,0,0.0,8.571428571428571,6.25,,1,4,0,63.7,9.647058823529413,0
4,1001,2022-01-01,7.777777777777779,8.75,7.5,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,1.4375,1.6428571428571428,1.352941176470588,2.0,2.7695103941838006,1.9444444444444446,0,0.0,8.571428571428571,7.0,,2,4,0,64.3,9.647058823529413,0
5,1001,2022-06-01,8.88888888888889,9.375,6.25,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,1.75,2.0,1.6470588235294117,3.0,2.9115074406452344,2.2222222222222223,0,0.0,8.571428571428571,7.75,,2,4,0,64.7,9.647058823529413,0
6,1001,2023-01-01,10.0,10.0,6.25,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,2.0625,2.357142857142857,1.9411764705882353,3.0,3.0535044871066677,2.777777777777778,0,0.0,8.571428571428571,8.5,,3,4,0,65.3,9.647058823529413,0
7,1001,2023-06-01,10.0,9.375,7.5,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,2.375,2.7142857142857144,2.235294117647059,4.0,3.1955015335681014,3.3333333333333335,0,0.0,8.571428571428571,8.25,,3,4,0,65.7,9.647058823529413,0
8,1001,2024-01-01,10.0,8.75,7.5,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,2.6875,3.071428571428571,2.5294117647058822,4.0,3.337498580029535,3.611111111111111,0,0.0,8.571428571428571,8.0,,4,4,0,66.3,9.647058823529413,0
9,1001,2024-06-01,10.0,8.125,6.25,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,3.0,3.4285714285714284,2.823529411764706,5.0,3.479495626490969,3.888888888888889,0,0.0,8.571428571428571,7.75,,4,4,0,66.7,9.647058823529413,0
