Unnamed: 0,Employee ID,Absence Date,Absence Duration,Absence Type,Day of the Week,Week of Year,Holiday Proximity,Previous Absence History,Weather (Temp),Season,Return Date,Unnamed: 0.1,Employee ID.2,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,FirstName,LastName,ADEmail,BusinessUnit,EmployeeClassificationType,DepartmentType,GenderCode,MaritalDesc,Current Employee Rating,Education,JobSatisfaction,JobInvolvement,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,MonthlyIncome,PercentSalaryHike,OverTime,DistanceFromHome,EducationField,Performance,Employee ID.1,YearsWorking,FinalScore,ExitScore,Age,SupervisorEngagementScore,PayZone_Encoded,Year,Month,DayOfWeek,DayOfYear,AbsenceType_Season,PreviousAbsence_HolidayProximity
623,1001.0,2020-01-22,5,2,3,3,0,1,14,4,2020-01-27,0,1001,2020-01-01 00:00:00,2.2222222222222223,6.25,6.25,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.1875,0.2142857142857142,0.1764705882352941,0.0,2.201522208338066,1.666666666666667,0,0.0,8.571428571428571,3.5,,0,4,0,62.3,9.647058823529411,0,2020,1,3,22,8,0
617,1001.0,2020-03-05,3,4,4,9,0,3,17,1,2020-03-09,0,1001,2020-01-01 00:00:00,2.2222222222222223,6.25,6.25,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.1875,0.2142857142857142,0.1764705882352941,0.0,2.201522208338066,1.666666666666667,0,0.0,8.571428571428571,3.5,,0,4,0,62.3,9.647058823529411,0,2020,3,4,65,4,0
608,1001.0,2020-08-05,7,3,3,31,0,3,28,2,2020-08-07,1,1001,2020-06-01 00:00:00,3.333333333333333,6.875,6.25,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.5,0.5714285714285715,0.4705882352941177,1.0,2.3435192547995,1.9444444444444449,0,0.0,8.571428571428571,4.25,,0,4,0,62.7,9.647058823529411,0,2020,8,3,218,6,0
606,1001.0,2020-10-25,4,4,7,43,0,3,14,3,2020-10-28,1,1001,2020-06-01 00:00:00,3.333333333333333,6.875,6.25,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.5,0.5714285714285715,0.4705882352941177,1.0,2.3435192547995,1.9444444444444449,0,0.0,8.571428571428571,4.25,,0,4,0,62.7,9.647058823529411,0,2020,10,7,299,12,0
601,1001.0,2020-11-10,3,4,2,45,0,2,17,3,2020-11-13,1,1001,2020-06-01 00:00:00,3.333333333333333,6.875,6.25,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.5,0.5714285714285715,0.4705882352941177,1.0,2.3435192547995,1.9444444444444449,0,0.0,8.571428571428571,4.25,,0,4,0,62.7,9.647058823529411,0,2020,11,2,315,12,0
602,1001.0,2021-01-25,4,2,1,4,0,2,16,4,2021-01-28,2,1001,2021-01-01 00:00:00,5.555555555555555,7.5,7.5,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.8125,0.9285714285714286,0.7647058823529412,1.0,2.4855163012609336,1.9444444444444449,0,0.0,8.571428571428571,5.5,,1,4,0,63.3,9.647058823529411,0,2021,1,1,25,8,0
604,1001.0,2021-02-11,4,2,4,6,0,2,15,4,2021-02-16,2,1001,2021-01-01 00:00:00,5.555555555555555,7.5,7.5,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.8125,0.9285714285714286,0.7647058823529412,1.0,2.4855163012609336,1.9444444444444449,0,0.0,8.571428571428571,5.5,,1,4,0,63.3,9.647058823529411,0,2021,2,4,42,8,0
618,1001.0,2021-02-22,5,2,1,8,0,4,12,4,2021-02-26,2,1001,2021-01-01 00:00:00,5.555555555555555,7.5,7.5,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.8125,0.9285714285714286,0.7647058823529412,1.0,2.4855163012609336,1.9444444444444449,0,0.0,8.571428571428571,5.5,,1,4,0,63.3,9.647058823529411,0,2021,2,1,53,8,0
607,1001.0,2021-03-18,3,4,4,11,0,4,22,1,2021-03-20,2,1001,2021-01-01 00:00:00,5.555555555555555,7.5,7.5,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,0.8125,0.9285714285714286,0.7647058823529412,1.0,2.4855163012609336,1.9444444444444449,0,0.0,8.571428571428571,5.5,,1,4,0,63.3,9.647058823529411,0,2021,3,4,77,4,0
616,1001.0,2021-10-02,3,4,6,39,0,4,11,3,2021-10-07,3,1001,2021-06-01 00:00:00,6.666666666666667,8.125,7.5,Susan,Exantus,susan.exantus@bilearner.com,8.571428571428571,0,10.0,0,0,5.0,2.0,7.5,6.666666666666666,1.125,1.2857142857142858,1.0588235294117647,2.0,2.627513347722367,1.9444444444444449,0,0.0,8.571428571428571,6.25,,1,4,0,63.7,9.647058823529411,0,2021,10,6,275,12,0
